text,seed_examples
I have difficulty sleeping because I can't get enough sleep within 30 minutes.,"['Sometimes I wonder if my family will really be there for me when I am in need.', 'During the past month, how often have you had trouble sleeping because you feel too hot?', ""I live life one day at a time and don't really think about the future."", 'During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?', 'During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?']"
I have insomnia and have gotten bad snoring and twitching.,"['Sometimes I wonder if my family will really be there for me when I am in need.', 'During the past month, how often have you had trouble sleeping because you feel too hot?', ""I live life one day at a time and don't really think about the future."", 'During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?', 'During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?']"
"Sometimes I have anxiety around my family members that are out of the country, such as when I am on vacation.","['Sometimes I wonder if my family will really be there for me when I am in need.', 'During the past month, how often have you had trouble sleeping because you feel too hot?', ""I live life one day at a time and don't really think about the future."", 'During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?', 'During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?']"
I am not a night owl.,"['Sometimes I wonder if my family will really be there for me when I am in need.', 'During the past month, how often have you had trouble sleeping because you feel too hot?', ""I live life one day at a time and don't really think about the future."", 'During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?', 'During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?']"
I believe I never really have anything important to talk about in my life and never really want to be there for my family when I need them.,"['Sometimes I wonder if my family will really be there for me when I am in need.', 'During the past month, how often have you had trouble sleeping because you feel too hot?', ""I live life one day at a time and don't really think about the future."", 'During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?', 'During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?']"
I find myself waiting on people to call or write,"['I am unhappy doing so many things alone', 'I feel a sense of mission about my future.', 'I find myself waiting for people to call or write', 'Taking all things together, how happy would you say you are?', 'I will always seek out activities that challenge me to think and reason.']"
I do not like being alone,"['I am unhappy doing so many things alone', 'I feel a sense of mission about my future.', 'I find myself waiting for people to call or write', 'Taking all things together, how happy would you say you are?', 'I will always seek out activities that challenge me to think and reason.']"
"I'm insecure about my future, and I have to wait for people to call or write.","['I am unhappy doing so many things alone', 'I feel a sense of mission about my future.', 'I find myself waiting for people to call or write', 'Taking all things together, how happy would you say you are?', 'I will always seek out activities that challenge me to think and reason.']"
"I need friendship and support, but sometimes that means time alone alone.","['I am unhappy doing so many things alone', 'I feel a sense of mission about my future.', 'I find myself waiting for people to call or write', 'Taking all things together, how happy would you say you are?', 'I will always seek out activities that challenge me to think and reason.']"
I enjoy being around people I trust.,"['I tend to be influenced by people with strong opinions.', 'It seems that my life has always had purpose.', 'During the past month, how often have you had trouble sleeping because you feel too cold?', 'I am able to adapt when changes occur.', 'Under pressure, I stay focused and think clearly.']"
I am able to feel confident and be assertive in my life.,"['I tend to be influenced by people with strong opinions.', 'It seems that my life has always had purpose.', 'During the past month, how often have you had trouble sleeping because you feel too cold?', 'I am able to adapt when changes occur.', 'Under pressure, I stay focused and think clearly.']"
I enjoy interacting with others.,"['I tend to be influenced by people with strong opinions.', 'It seems that my life has always had purpose.', 'During the past month, how often have you had trouble sleeping because you feel too cold?', 'I am able to adapt when changes occur.', 'Under pressure, I stay focused and think clearly.']"
I am able to find purpose in my life.,"['I tend to be influenced by people with strong opinions.', 'It seems that my life has always had purpose.', 'During the past month, how often have you had trouble sleeping because you feel too cold?', 'I am able to adapt when changes occur.', 'Under pressure, I stay focused and think clearly.']"
I have learned how to handle stress.,"['I tend to be influenced by people with strong opinions.', 'It seems that my life has always had purpose.', 'During the past month, how often have you had trouble sleeping because you feel too cold?', 'I am able to adapt when changes occur.', 'Under pressure, I stay focused and think clearly.']"
I sometimes feel I'm isolated.,"['During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?', ""Sometimes I don't understand what life is all about."", 'During the past month, how would you rate your sleep quality overall?', 'How much of the time do you feel you are making progress towards accomplishing your goals?', 'I have one close and secure relationship.']"
I think it is important to have new experiences that challenge my thinking about myself and the world.,"['I think it is important to have new experiences that challenge how I think about myself and the world.', 'I have one close and secure relationship.', 'I am no longer close to anyone', 'I lack companionship', ""I sometimes feel as if I've done all there is to do in life.""]"
"I enjoy doing things I enjoy, even though I have done all there is to do in life.","['I think it is important to have new experiences that challenge how I think about myself and the world.', 'I have one close and secure relationship.', 'I am no longer close to anyone', 'I lack companionship', ""I sometimes feel as if I've done all there is to do in life.""]"
I try to meet new people and experiences that challenge how I think about myself and the world.,"['I think it is important to have new experiences that challenge how I think about myself and the world.', 'I have one close and secure relationship.', 'I am no longer close to anyone', 'I lack companionship', ""I sometimes feel as if I've done all there is to do in life.""]"
"I know I can accomplish my goals, even if there are obstacles.","['Even when hopeless, I do not give up.', 'I believe I can achieve my goals, even if there are obstacles.', 'In general, I feel confident about my abilities.', 'During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?', 'During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?']"
I am healthy and strong even when the going gets tough.,"['Even when hopeless, I do not give up.', 'I believe I can achieve my goals, even if there are obstacles.', 'In general, I feel confident about my abilities.', 'During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?', 'During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?']"
I have trouble sleeping because of my pain.,"['I make unpopular or difficult decisions.', 'During the past month, how often have you had trouble sleeping because you have pain?', 'I feel shut out and excluded by others', 'I will always seek out activities that challenge me to think and reason.', 'I am uncertain about my ability to do things well in the future.']"
I have difficulty focusing because of my lack of enthusiasm.,"['I make unpopular or difficult decisions.', 'During the past month, how often have you had trouble sleeping because you have pain?', 'I feel shut out and excluded by others', 'I will always seek out activities that challenge me to think and reason.', 'I am uncertain about my ability to do things well in the future.']"
