target_dims,generated_text,corr_score
Emotional,I can manage my emotional feelings effectively during stressful situations.,0.6827612519264221
Emotional,I am able to manage my emotions during stressful situations.,0.6772371530532837
Emotional,I am able to control my emotions in times of stress.,0.6768820285797119
Emotional,I am able to control my emotions effectively during stressful situations.,0.6693285703659058
Emotional,"I can handle my feelings like anger, sadness, and anxiety.",0.6649882197380066
Emotional,I have the ability to manage my emotions effectively during stressful situations.,0.6637319326400757
Emotional,I am able to cope with emotional stress effectively during stressful situations.,0.6606413125991821
Emotional,I am able to deal with negative feelings like anxiety and stress.,0.6603566408157349
Emotional,I am able to handle emotional stress during stressful situations.,0.6598699688911438
Emotional,"I am able to deal with unpleasant feelings like sadness, fear, and anger.",0.6576008200645447
Emotional,I am able to handle emotional turmoil and feelings like sadness and fear.,0.6560012698173523
Emotional,I am able to deal with emotional distress and fear.,0.6546540260314941
Emotional,I am not able to handle emotions effectively during stressful situations.,0.6473280787467957
Emotional,I'm not able to take care of the emotional stress I'm experiencing.,0.6162760257720947
Emotional,I can handle emotional pressure in a calm and centered way.,0.6013187170028687
Emotional,I am able to deal with unpleasant or painful feelings.,0.5999240875244141
Emotional,I am able to deal with physical and mental stresses effectively.,0.594741940498352
Emotional,I can take care of my feelings while feeling sad or anxious.,0.5883471965789795
Emotional,"I have a tendency to be very sensitive to emotions like sadness, fear, and anger.",0.5718003511428833
Emotional,"I feel comfortable in the presence of feelings of anxiety, depression, and anger.",0.5641188025474548
Emotional,I am able to handle the emotional stress of life and have the ability to cope with stressful situations.,0.5602967739105225
Emotional,My emotions have a way of making me feel better.,0.5383771657943726
Emotional,I feel my emotions in situations I don't like.,0.5046505928039551
Emotional,I have a strong immune system and I feel the way I do in these stressful situations.,0.4863213300704956
Emotional,I know where to find help when stress begins to affect my body.,0.45621368288993835
Emotional,I have been to a therapist in a crisis before and after a crisis.,0.4385639727115631
Emotional,"My feelings of sadness, fear, and anger are clearly defined and portrayed.",0.43664923310279846
Emotional,I have a fear of my sadness and fear of the unknown.,0.4274986982345581
Emotional,I feel anxious in the hospital because I can't find a medical provider.,0.33341941237449646
Emotional,I feel like I am being influenced by other people.,0.2664244771003723
Environmental,I feel more comfortable when my environment is well-maintained.,0.6496427059173584
Environmental,My home environment helps me relax and be more comfortable.,0.6420542001724243
Environmental,My home environment makes it easier for me to relax.,0.6411787867546082
Environmental,I feel more comfortable and more relaxed while my environment is clean and organized.,0.6361416578292847
Environmental,My environment is healthier and is easier for me to relax.,0.6354113221168518
Environmental,I think my environment is relaxing and I feel free.,0.6312143802642822
Environmental,My environment can be a difficult place for me to relax.,0.6248408555984497
Environmental,I feel less anxious when my environment matches my needs.,0.6159871816635132
Environmental,My environment helps me relax and have a good night's sleep.,0.60555499792099
Environmental,I'm more relaxed than I could have in my own environment.,0.6015515923500061
Environmental,I feel more comfortable when my home environment is clean and organized.,0.5979443192481995
Environmental,I feel better when my environment is clean and organized.,0.583166778087616
Environmental,I feel happier when my surroundings are safe and predictable.,0.5783426761627197
Environmental,I feel healthier and more comfortable when the space around me is conducive to my activities.,0.572838306427002
Environmental,My environment can be a supportive environment for me to feel safe.,0.5728330016136169
Environmental,I am healthier in my home environment and feel happier in my surrounding.,0.5716880559921265
Environmental,I feel more at ease when my home environment matches my needs.,0.5666846036911011
Environmental,I feel less at ease when my surroundings match my needs.,0.5660879015922546
Environmental,My environment has a positive effect on me and helps me to keep me alive.,0.554736852645874
Environmental,I feel more comfortable when my living space matches my needs.,0.5525277853012085
Environmental,My environment has a positive impact on my mental health.,0.5473397970199585
Environmental,I feel safe and more comfortable in my living space.,0.5470804572105408
Environmental,I can feel less stressed or angry when I occupy my living space.,0.5363507270812988
Environmental,I need to make sure that my environment doesn't interfere with my emotional health.,0.5133578181266785
Environmental,I feel safer and more at ease when my surroundings are the right fit.,0.5092863440513611
Environmental,I feel happier when the places around me are predictable and comfortable.,0.4812420606613159
Environmental,I find it easier to relax after a stressful situation.,0.4806239604949951
Environmental,I am less likely to suffer from depression or anxiety.,0.4046773910522461
Environmental,I take care of myself in the way I feel.,0.3974784314632416
Environmental,I have a clear sense of direction and my mind is alert when I hear noise.,0.358765184879303
Financial,My financial situation impacts my financial decisions in daily life.,0.7175180315971375
Financial,My financial situation has affected my lifestyle and the choices I make in my daily life.,0.7045806646347046
Financial,My financial situation influences the decisions I make in everyday life.,0.7030410766601562
Financial,My financial situation influences how I make decisions in daily life.,0.6970507502555847
Financial,I know my financial situation is impacting my life and it affects how I make financial decisions.,0.6871828436851501
Financial,My financial situation influences my personal actions in daily life.,0.6834875345230103
Financial,My financial situation affects my ability to make a stable financial decision.,0.6821045279502869
Financial,My financial situation affects how well I perform in daily life.,0.6813843250274658
Financial,My financial situation impacts how successful I am in my current life.,0.6807174682617188
Financial,My financial situation affects how well I've been financially disciplined.,0.6631200313568115
Financial,My financial situation affects how prepared I am for life.,0.6622443199157715
Financial,My financial situation influences how I look at my future.,0.6577739715576172
Financial,My financial situation influences the ways I make lifestyle choices.,0.6571027636528015
Financial,I am able to make more decisions about my finances.,0.6555718779563904
Financial,My financial situation influences how much I want to save.,0.6436155438423157
Financial,I am aware that my financial situation affects my long-term needs.,0.6264451742172241
Financial,My financial situation affects my physical health and well-being.,0.604077160358429
Financial,I feel more financially stable and more prepared to make decisions.,0.5988305807113647
Financial,My financial situation has a resemblance to how you feel.,0.5984379053115845
Financial,I'm feeling more financially secure when I have a clear financial plan.,0.5854029059410095
Financial,My financial situation affects my ability to pay down bills.,0.5836009383201599
