qid,dataset,text,dimension_model,dimensions,scores,delta
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,DeepSeek-V3.2,"['Intellectual', 'Emotional', 'Occupational', 'Spiritual', 'Social']","[0.16608314216136932, 0.14512571692466736, 0.1342075765132904, 0.11154387891292572, 0.10838506370782852]",0.1
CD_RISC_2,CD-RISC,I have one close and secure relationship.,DeepSeek-V3.2,['Social'],[0.45805057883262634],0.1
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,DeepSeek-V3.2,"['Spiritual', 'Emotional', 'Financial', 'Intellectual']","[0.34408649802207947, 0.2708166241645813, 0.2695760130882263, 0.26324698328971863]",0.1
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,DeepSeek-V3.2,"['Social', 'Environmental', 'Financial', 'Emotional', 'Intellectual', 'Spiritual']","[0.20953433215618134, 0.20224043726921082, 0.19190488755702972, 0.1794702708721161, 0.16245199739933014, 0.13803575932979584]",0.1
CD_RISC_5,CD-RISC,Past successes give me confidence.,DeepSeek-V3.2,"['Occupational', 'Social', 'Intellectual', 'Emotional']","[0.24094676971435547, 0.2324220985174179, 0.2003941684961319, 0.17235155403614044]",0.1
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,DeepSeek-V3.2,"['Emotional', 'Intellectual', 'Social']","[0.2200256586074829, 0.20763367414474487, 0.15954625606536865]",0.1
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,DeepSeek-V3.2,"['Emotional', 'Spiritual', 'Intellectual', 'Occupational']","[0.308810293674469, 0.25897616147994995, 0.24225342273712158, 0.23175039887428284]",0.1
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",DeepSeek-V3.2,"['Physical', 'Emotional']","[0.30716636776924133, 0.24078558385372162]",0.1
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,DeepSeek-V3.2,"['Emotional', 'Spiritual', 'Social', 'Environmental', 'Intellectual']","[0.2021956592798233, 0.19377584755420685, 0.157258078455925, 0.14490115642547607, 0.1066800132393837]",0.1
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",DeepSeek-V3.2,"['Intellectual', 'Occupational', 'Financial', 'Social', 'Spiritual']","[0.25112080574035645, 0.21837733685970306, 0.19468669593334198, 0.18901704251766205, 0.1531612128019333]",0.1
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",DeepSeek-V3.2,"['Financial', 'Intellectual', 'Spiritual', 'Occupational', 'Emotional']","[0.3010622560977936, 0.2930722236633301, 0.2721319794654846, 0.22212384641170502, 0.21138274669647217]",0.1
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",DeepSeek-V3.2,"['Emotional', 'Financial', 'Intellectual', 'Occupational', 'Social', 'Spiritual']","[0.23705148696899414, 0.22929136455059052, 0.17792005836963654, 0.16559948027133942, 0.14997702836990356, 0.14643749594688416]",0.1
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",DeepSeek-V3.2,['Emotional'],[0.31816431879997253],0.1
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",DeepSeek-V3.2,"['Intellectual', 'Spiritual', 'Emotional']","[0.30150893330574036, 0.21825885772705078, 0.213586688041687]",0.1
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,DeepSeek-V3.2,['Intellectual'],[0.39480650424957275],0.1
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,DeepSeek-V3.2,"['Intellectual', 'Occupational', 'Social', 'Financial', 'Emotional']","[0.2469038963317871, 0.2190110981464386, 0.20312602818012238, 0.19243545830249786, 0.18462347984313965]",0.1
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,DeepSeek-V3.2,"['Emotional', 'Spiritual', 'Social', 'Occupational']","[0.41074302792549133, 0.38693928718566895, 0.32747408747673035, 0.31875109672546387]",0.1
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,DeepSeek-V3.2,"['Intellectual', 'Social', 'Emotional', 'Financial']","[0.20579256117343903, 0.17077073454856873, 0.1456911712884903, 0.13929645717144012]",0.1
