qid,text,dataset
CD_RISC_1,I am able to adapt when changes occur.,CD-RISC
CD_RISC_2,I have one close and secure relationship.,CD-RISC
CD_RISC_3,Sometimes fate or God helps me.,CD-RISC
CD_RISC_4,I can deal with whatever comes my way.,CD-RISC
CD_RISC_5,Past successes give me confidence.,CD-RISC
CD_RISC_6,I try to see the humorous side of things when I am faced with problems.,CD-RISC
CD_RISC_7,Having to cope with stress can make me stronger.,CD-RISC
CD_RISC_8,"I tend to bounce back after illness, injury, or other hardships.",CD-RISC
CD_RISC_9,I believe most things happen for a reason.,CD-RISC
CD_RISC_10,"I make my best effort, no matter what.",CD-RISC
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",CD-RISC
CD_RISC_12,"Even when hopeless, I do not give up.",CD-RISC
CD_RISC_13,"In times of stress, I know where to find help.",CD-RISC
CD_RISC_14,"Under pressure, I stay focused and think clearly.",CD-RISC
CD_RISC_15,I prefer to take the lead in problem-solving.,CD-RISC
CD_RISC_16,I am not easily discouraged by failure.,CD-RISC
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,CD-RISC
CD_RISC_18,I make unpopular or difficult decisions.,CD-RISC
CD_RISC_19,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",CD-RISC
CD_RISC_20,I have to act on a hunch.,CD-RISC
CD_RISC_21,I have a strong sense of purpose in life.,CD-RISC
CD_RISC_22,I feel like I am in control.,CD-RISC
CD_RISC_23,I like challenges.,CD-RISC
CD_RISC_24,I work to attain goals.,CD-RISC
CD_RISC_25,I take pride in my achievements.,CD-RISC
PERMA1_1,How much of the time do you feel you are making progress towards accomplishing your goals?,PERMA
PERMA1_2,How often do you become absorbed in what you are doing?,PERMA
PERMA1_3,How often do you feel joyful?,PERMA
PERMA1_4,How often do you feel anxious?,PERMA
PERMA1_5,How often do you achieve the important goals you have set for yourself?,PERMA
PERMA2_1,How would you say your health is?,PERMA
PERMA3_1,To what extent do you lead a purposeful and meaningful life?,PERMA
PERMA3_2,To what extent do you receive help and support from others when you need it?,PERMA
PERMA3_3,To what extent do you feel that what you do in your life is valuable and worthwhile?,PERMA
