target_dims,generated_text,combo_size,target_count,generated_count,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6
"Emotional, Environmental, Financial",I feel less secure because I cannot save for the future.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I feel stressed when I am unable to get enough sleep.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I've been feeling very stressed over the past month.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I am aware of my financial situation and my financial situation.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I feel less secure in times of stress than I did in the past.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I have a stable income that is less than what I used to earn.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",How frequently do you have trouble sleeping because you cannot breathe comfortably?,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I am experiencing issues that affect my physical and psychological health.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",The first self-report is a self-report about the mental health of adults.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I had trouble sleeping in the past month because you cannot breathe comfortably?,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I do not feel empowered or confident enough to change my lifestyle.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial","When you feel stressed, you are more likely to have an anxiety attack.",3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",Mental health can affect many aspects of a person's life.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I have a fear of stress because of my financial situation.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I have been having more stress than I thought I was going to,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I feel a lot of stress due to my financial situation.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",You have been through some difficult times and are struggling.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I need to know how to manage my emotions when I are stressed.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",A self-report mental health survey report that describes how well I feel during stressful situations.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial","I have experienced stress in the past month, how often have you had trouble sleeping.",3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",A self-report describing how your financial situation affects how secure you feel.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",My emotional stress and financial stress create stress for me.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",My emotional situation is most likely a form of stress.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",Stress and anxiety are both things I feel anxious about.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I need a new self-report to help me cope with stress.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I have a negative attitude about things I have to change.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial","My physical health is poor, so I feel pressured to eat a healthy diet.",3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",Stress is a problem that interferes with my peace of mind.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",I am aware of stress related to my emotional and financial well being.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Financial",My mental health status has been influenced by financial and emotional stress.,3,30,30,My financial situation affects how secure I feel.,Unexpected expenses create stress for me.,I feel more secure when I am able to save for the future.,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Money concerns interfere with my peace of mind.,"In times of stress, I know where to find help."
"Emotional, Environmental, Intellectual",I am feeling anxious and anxious because of my surroundings.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel less stressed when my living space is clean.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I think my environment feels very stressful or out of control.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more at ease in places that are clean and organized.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual","I feel less overwhelmed in my environment, because of a lack of mental health support.",3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more at ease and relaxed when I am around people I like.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more relaxed in a place that is clean and organized.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I am less likely to develop depression if my environment is unbalanced.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I often feel anxious about having to worry about my own mental health.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I have been studying how to improve my mental health through my self-report.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more comfortable when my living room is clean.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more relaxed and happier than before I felt anxious about myself.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more at ease in my surroundings and have calm and calm surroundings.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more comfortable and happy when my environment is clean.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more relaxed when my surroundings are clean and organized.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more relaxed and more content in the environment.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel a lot less nervous than usual and I feel less stressed.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I have an understanding of how to control the emotional experience.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I am more aware of my stress or anxiety levels.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more calm and comfortable in my living space.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I have been a member of the Society of Mental Health Practitioners for over 20 years.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual","I can deal with physical changes, especially anger or sadness.",3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I can't sleep but know that I can relax and move around.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I have an anxiety disorder and have very few emotional experiences.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more relaxed and at ease when my surroundings help me feel calm and settled.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I feel more at ease when I am calm and settled.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I find myself re-evaluating my mental health and looking at ways to improve it.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I often feel anxious or nervous when I am alone.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I am more comfortable when my surroundings are clean and organized.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Intellectual",I like all the things that my environment looks like.,3,30,30,I feel more at peace in spaces that are calm and familiar.,Noise or clutter in my environment makes it harder for me to relax.,My surroundings help me feel calm and settled.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",I feel more at ease when my living space is clean and organized.,How often do you feel anxious?
"Emotional, Environmental, Occupational",I am more likely to feel sad and upset when my surroundings match my needs.,3,30,30,The condition of my surroundings affects my mood.,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,I feel more comfortable when my surroundings match my needs.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger."
"Emotional, Environmental, Occupational","I am happy and well-balanced at work, but are not well-balanced at work.",3,30,30,The condition of my surroundings affects my mood.,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,I feel more comfortable when my surroundings match my needs.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger."
