target_dims,generated_text,combo_size,target_count,generated_count,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6
"Emotional, Environmental",I have had problems sleeping for the last month.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I am able to maintain positive outlook on life.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I can handle emotional and environmental.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I have had issues in the past month with anxiety and depression.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I feel that I can handle my emotional and environmental stress.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I have a strong memory of my own issues.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I am in charge of situations that I live in.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I am able to take responsibility for my actions and in my life.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I am an in charge of the situation in which I live.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I can handle negative and negative feelings both physically and emotionally.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",My mental health has been improving and I am able to manage feelings of anxiety and irritability.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I feel as if I have control over my own situation in which I live.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental","I have a strong understanding of the things I need to change, that I can help and that I can help you.",2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental","I feel able to deal with stressful emotions, and am well prepared to deal with unpleasant emotions.",2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental","I feel I have a duty to the environment, especially in times of conflict.",2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I am able to take care of all my emotions.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
"Emotional, Environmental",I have a lot of mental health problems and have a lot of positive thinking and problem solving skills.,2,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",How often do you feel anxious?,"In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live."
