qid,text,answer,source
CD_RISC_22,I feel like I am in control.,Emotional,Human01
CD_RISC_22,I feel like I am in control.,Emotional,Human02
CD_RISC_22,I feel like I am in control.,Spiritual,Human03
CD_RISC_22,I feel like I am in control.,Emotional,Human04
CD_RISC_22,I feel like I am in control.,Environmental,Human05
CD_RISC_22,I feel like I am in control.,Emotional,Human06
CD_RISC_22,I feel like I am in control.,Emotional,Human07
CD_RISC_22,I feel like I am in control.,Emotional,Human08
CD_RISC_22,I feel like I am in control.,Emotional,Human09
CD_RISC_22,I feel like I am in control.,Emotional,Human10
CD_RISC_22,I feel like I am in control.,Emotional,Human11
CD_RISC_22,I feel like I am in control.,Environmental,Human12
CD_RISC_22,I feel like I am in control.,Emotional,Human13
CD_RISC_22,I feel like I am in control.,Emotional,Human14
CD_RISC_22,I feel like I am in control.,Spiritual,Human15
CD_RISC_22,I feel like I am in control.,Emotional,Human16
CD_RISC_22,I feel like I am in control.,Emotional,Human17
CD_RISC_22,I feel like I am in control.,Emotional,Human18
CD_RISC_22,I feel like I am in control.,Environmental,Human19
CD_RISC_22,I feel like I am in control.,Emotional,Human20
CD_RISC_22,I feel like I am in control.,Spiritual,Human21
CD_RISC_22,I feel like I am in control.,Spiritual,Human22
CD_RISC_22,I feel like I am in control.,Environmental,Human23
CD_RISC_22,I feel like I am in control.,Emotional,Human24
CD_RISC_22,I feel like I am in control.,Intellectual,Human25
CD_RISC_22,I feel like I am in control.,Spiritual,Human26
CD_RISC_22,I feel like I am in control.,Spiritual,Human27
CD_RISC_22,I feel like I am in control.,Environmental,Human28
CD_RISC_22,I feel like I am in control.2,Emotional,Human01
CD_RISC_22,I feel like I am in control.2,Emotional,Human02
CD_RISC_22,I feel like I am in control.2,Spiritual,Human03
CD_RISC_22,I feel like I am in control.2,Emotional,Human04
CD_RISC_22,I feel like I am in control.2,Environmental,Human05
CD_RISC_22,I feel like I am in control.2,Emotional,Human06
CD_RISC_22,I feel like I am in control.2,Emotional,Human07
CD_RISC_22,I feel like I am in control.2,Occupational,Human08
CD_RISC_22,I feel like I am in control.2,Emotional,Human09
CD_RISC_22,I feel like I am in control.2,Emotional,Human10
CD_RISC_22,I feel like I am in control.2,Emotional,Human11
CD_RISC_22,I feel like I am in control.2,Environmental,Human12
CD_RISC_22,I feel like I am in control.2,Emotional,Human13
CD_RISC_22,I feel like I am in control.2,Emotional,Human14
CD_RISC_22,I feel like I am in control.2,Spiritual,Human15
CD_RISC_22,I feel like I am in control.2,Emotional,Human16
CD_RISC_22,I feel like I am in control.2,Emotional,Human17
CD_RISC_22,I feel like I am in control.2,Emotional,Human18
CD_RISC_22,I feel like I am in control.2,Environmental,Human19
CD_RISC_22,I feel like I am in control.2,Emotional,Human20
CD_RISC_22,I feel like I am in control.2,Spiritual,Human21
CD_RISC_22,I feel like I am in control.2,Spiritual,Human22
CD_RISC_22,I feel like I am in control.2,Occupational,Human23
CD_RISC_22,I feel like I am in control.2,Emotional,Human24
CD_RISC_22,I feel like I am in control.2,Intellectual,Human25
CD_RISC_22,I feel like I am in control.2,Spiritual,Human26
CD_RISC_22,I feel like I am in control.2,Spiritual,Human27
CD_RISC_22,I feel like I am in control.2,Social,Human28
CD_RISC_22,I feel like I am in control.3,Emotional,Human01
CD_RISC_22,I feel like I am in control.3,Emotional,Human02
CD_RISC_22,I feel like I am in control.3,Spiritual,Human03
CD_RISC_22,I feel like I am in control.3,Emotional,Human04
CD_RISC_22,I feel like I am in control.3,Environmental,Human05
CD_RISC_22,I feel like I am in control.3,Emotional,Human06
CD_RISC_22,I feel like I am in control.3,Emotional,Human07
CD_RISC_22,I feel like I am in control.3,Spiritual,Human08
CD_RISC_22,I feel like I am in control.3,Emotional,Human09
CD_RISC_22,I feel like I am in control.3,Emotional,Human10
CD_RISC_22,I feel like I am in control.3,Emotional,Human11
CD_RISC_22,I feel like I am in control.3,Environmental,Human12
CD_RISC_22,I feel like I am in control.3,Emotional,Human13
CD_RISC_22,I feel like I am in control.3,Emotional,Human14
CD_RISC_22,I feel like I am in control.3,Spiritual,Human15
CD_RISC_22,I feel like I am in control.3,Emotional,Human16
CD_RISC_22,I feel like I am in control.3,Emotional,Human17
CD_RISC_22,I feel like I am in control.3,Emotional,Human18
CD_RISC_22,I feel like I am in control.3,Environmental,Human19
CD_RISC_22,I feel like I am in control.3,Emotional,Human20
CD_RISC_22,I feel like I am in control.3,Spiritual,Human21
CD_RISC_22,I feel like I am in control.3,Spiritual,Human22
CD_RISC_22,I feel like I am in control.3,Emotional,Human23
CD_RISC_22,I feel like I am in control.3,Emotional,Human24
CD_RISC_22,I feel like I am in control.3,Intellectual,Human25
CD_RISC_22,I feel like I am in control.3,Spiritual,Human26
CD_RISC_22,I feel like I am in control.3,Spiritual,Human27
CD_RISC_22,I feel like I am in control.3,Emotional,Human28
PWB_1,I like most parts of my personality.,Emotional,Human01
PWB_1,I like most parts of my personality.,Emotional,Human02
PWB_1,I like most parts of my personality.,Emotional,Human03
PWB_1,I like most parts of my personality.,Emotional,Human04
PWB_1,I like most parts of my personality.,Emotional,Human05
PWB_1,I like most parts of my personality.,Emotional,Human06
PWB_1,I like most parts of my personality.,Emotional,Human07
PWB_1,I like most parts of my personality.,Emotional,Human08
PWB_1,I like most parts of my personality.,Emotional,Human09
PWB_1,I like most parts of my personality.,Emotional,Human10
PWB_1,I like most parts of my personality.,Emotional,Human11
PWB_1,I like most parts of my personality.,Emotional,Human12
PWB_1,I like most parts of my personality.,Emotional,Human13
PWB_1,I like most parts of my personality.,Emotional,Human14
PWB_1,I like most parts of my personality.,Emotional,Human15
PWB_1,I like most parts of my personality.,Emotional,Human16
PWB_1,I like most parts of my personality.,Emotional,Human17
PWB_1,I like most parts of my personality.,Spiritual,Human18
PWB_1,I like most parts of my personality.,Emotional,Human19
PWB_1,I like most parts of my personality.,Emotional,Human20
PWB_1,I like most parts of my personality.,Emotional,Human21
PWB_1,I like most parts of my personality.,Spiritual,Human22
PWB_1,I like most parts of my personality.,Spiritual,Human23
PWB_1,I like most parts of my personality.,Emotional,Human24
PWB_1,I like most parts of my personality.,Emotional,Human25
PWB_1,I like most parts of my personality.,Emotional,Human26
PWB_1,I like most parts of my personality.,Emotional,Human27
PWB_1,I like most parts of my personality.,Emotional,Human28
PWB_1,I like most parts of my personality.2,Emotional,Human01
