target_dims,generated_text,combo_size,target_count,generated_count,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6
Emotional,"When I feel stressed, I know where to find help.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,"I am able to deal with unpleasant feelings like sadness, fear, and anger.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I have an understanding of and strong response to stress.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I have been able to cope with stress.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,My mental health is at an all-time high and I am able to handle my emotions calmly.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I have a strong resolve to help myself from stress.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I can manage the stress of my life.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I have coping mechanisms that work.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I have developed a strong resilience.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,My emotional wellbeing improves when I focus on my positive self-report mental health,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I know where to find help and can't seem to find help.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,"I cope with stress, anxiety and depression.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,"When I feel sad and anxious, I know I have to find help.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I am able to cope with stressful events and experiences.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,"When I need help, I know what to do.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I have coped well with stress.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,"I have a strong sense of humor, and I know how to deal with stress.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I feel sad sometimes but I can handle stress easily.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I have a strong sense of self,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I can cope with stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,coping is a way for me to make myself stronger.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,"I can handle sadness, fear, and anger.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I feel excited about the challenges of my life.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I have a strong ability to manage emotions.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I know how to find help.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I am able to cope with unpleasant or painful feelings.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,"I have a tendency to feel negative emotions like sadness, fear, and anger.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,How often do you feel a lot of stress?,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,I have a strong immune system.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Emotional,"I'm able to manage unpleasant or painful feelings like sadness, fear, and anger.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,"In times of stress, I know where to find help.",Having to cope with stress can make me stronger.
Environmental,The things around me are close to me,1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,It's very easy to be disconnected from someone without ever becoming close.,1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,It was not a big deal because people were around me but not with me,1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,I am no longer close to anyone I am close to people who are around me,1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,"I have high moods, and I sleep on the couch but not in the room",1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,I have a fear that being close to someone may cause depression.,1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,People who like me are close but not with me,1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,"I am close to anyone, but there are no people in my home",1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,I have had my bed partner or room mate reported long pauses between breaths while asleep?,1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,"When it comes to staying healthy, people around me are the only people close to me.",1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,I am unable to sleep because I cannot breathe comfortably?,1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
Environmental,I have a problem with the environment,1,30,30,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","During the past month, how often has your bed partner or room mate reported loud snoring?",I am no longer close to anyone,People are around me but not with me
