qid,question_text,human_answers
CD_RISC_1,I am able to adapt when changes occur.,"['Emotional', 'Social', 'Environmental', 'Intellectual']"
CD_RISC_2,I have one close and secure relationship.,"['Social', 'Emotional']"
CD_RISC_3,Sometimes fate or God helps me.,['Spiritual']
CD_RISC_4,I can deal with whatever comes my way.,"['Emotional', 'Spiritual', 'Intellectual', 'Occupational', 'Environmental']"
CD_RISC_5,Past successes give me confidence.,"['Emotional', 'Intellectual', 'Occupational', 'Environmental']"
CD_RISC_6,I try to see the humorous side of things when I am faced with problems.,"['Emotional', 'Intellectual', 'Spiritual']"
CD_RISC_7,Having to cope with stress can make me stronger.,"['Emotional', 'Intellectual']"
CD_RISC_8,"I tend to bounce back after illness, injury, or other hardships.","['Emotional', 'Physical']"
CD_RISC_9,I believe most things happen for a reason.,"['Emotional', 'Spiritual', 'Intellectual', 'Environmental']"
CD_RISC_10,"I make my best effort, no matter what.","['Emotional', 'Intellectual', 'Spiritual', 'Occupational']"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.","['Emotional', 'Occupational', 'Spiritual', 'Intellectual', 'Environmental']"
CD_RISC_12,"Even when hopeless, I do not give up.","['Emotional', 'Spiritual', 'Intellectual', 'Social']"
CD_RISC_13,"In times of stress, I know where to find help.","['Emotional', 'Social', 'Environmental', 'Intellectual']"
CD_RISC_14,"Under pressure, I stay focused and think clearly.","['Emotional', 'Intellectual', 'Occupational', 'Environmental']"
CD_RISC_15,I prefer to take the lead in problem-solving.,"['Emotional', 'Intellectual', 'Social', 'Occupational']"
CD_RISC_16,I am not easily discouraged by failure.,"['Emotional', 'Intellectual', 'Occupational', 'Social', 'Spiritual']"
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,"['Emotional', 'Intellectual', 'Spiritual', 'Occupational', 'Physical']"
CD_RISC_18,I make unpopular or difficult decisions.,"['Emotional', 'Intellectual', 'Occupational', 'Social', 'Environmental']"
CD_RISC_19,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.","['Emotional', 'Environmental', 'Intellectual']"
CD_RISC_20,I have to act on a hunch.,"['Emotional', 'Intellectual', 'Spiritual', 'Social', 'Occupational']"
CD_RISC_22,I feel like I am in control.,"['Emotional', 'Spiritual', 'Environmental', 'Intellectual']"
PERMA1_1,How much of the time do you feel you are making progress towards accomplishing your goals?,"['Intellectual', 'Emotional', 'Occupational', 'Environmental']"
PERMA1_2,How often do you become absorbed in what you are doing?,"['Emotional', 'Occupational', 'Intellectual', 'Spiritual', 'Environmental']"
PERMA1_3,How often do you feel joyful?,"['Emotional', 'Environmental', 'Spiritual']"
PERMA1_4,How often do you feel anxious?,"['Emotional', 'Social']"
PERMA1_5,How often do you achieve the important goals you have set for yourself?,"['Emotional', 'Occupational', 'Intellectual', 'Spiritual', 'Environmental']"
PERMA2_1,How would you say your health is?,"['Physical', 'Social']"
PERMA3_1,To what extent do you lead a purposeful and meaningful life?,"['Spiritual', 'Emotional', 'Social', 'Occupational']"
PERMA3_2,To what extent do you receive help and support from others when you need it?,"['Social', 'Emotional', 'Environmental']"
PERMA3_3,To what extent do you feel that what you do in your life is valuable and worthwhile?,"['Spiritual', 'Emotional', 'Intellectual', 'Occupational', 'Social']"
