target_dims,generated_text,combo_size,target_count,generated_count,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6
"Emotional, Environmental",I am aware of my environment and its impact on my mood.,2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental",I feel less stressed in places that are calm and familiar.,2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental",I am at peace in places that are calm and familiar.,2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental",I feel more at peace when my surroundings are calm and familiar.,2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental","I am happier in my home, and feel less stressed in my surroundings.",2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental","I can deal with unpleasant or painful feelings like sadness, fear, and anger.",2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental",I am less stressed when my surroundings are calm and orderly.,2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental",I feel more calm in space that is calm and familiar.,2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental",I am more relaxed and less stressed when I have a comfortable environment.,2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental",I can have a better mental state when I have an environment where people are not talking.,2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
"Emotional, Environmental",I find that living in a noisy environment makes me less happy.,2,30,30,Noise or clutter in my environment makes it harder for me to relax.,My environment makes it easier for me to take care of myself.,I feel less stressed when my surroundings are quiet and orderly.,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",The condition of my surroundings affects my mood.,I feel more at peace in spaces that are calm and familiar.
