target_dims,generated_text,corr_score
"Emotional, Environmental",I am feeling less at peace when my surroundings are calm and orderly.,0.615795373916626
"Emotional, Environmental",I feel less stressed in my surroundings when my environment is quiet and orderly.,0.6150574684143066
"Emotional, Environmental",I feel less stress when my surroundings are calm and orderly.,0.6036776304244995
"Emotional, Environmental",I am less stressed when my surroundings are calm and orderly.,0.6035314202308655
"Emotional, Environmental",I feel more at peace when my surroundings are calm and familiar.,0.5938643217086792
"Emotional, Environmental",I feel more at peace and calm in my home.,0.5836385488510132
"Emotional, Environmental",I am more relaxed and less stressed when I have a comfortable environment.,0.5725525617599487
"Emotional, Environmental","I am happier in my home, and feel less stressed in my surroundings.",0.5714091658592224
"Emotional, Environmental",I feel less stressed in places that are calm and familiar.,0.5631922483444214
"Emotional, Environmental",I think that my environment is conducive to my relaxation.,0.5563601851463318
"Emotional, Environmental",I am more relaxed in areas that are calm and familiar.,0.5534085035324097
"Emotional, Environmental",I am feeling less stressed and less anxious when my surroundings are quiet.,0.5502108335494995
"Emotional, Environmental",I am aware of my environment and its impact on my mood.,0.5451861619949341
"Emotional, Environmental",I am calm and free of all feelings of stress or anxiety.,0.5421302318572998
"Emotional, Environmental",I find it easier to take care of myself when my surroundings are calm and orderly.,0.5326475501060486
"Emotional, Environmental",I am happier in the calm and familiar spaces that I am in.,0.5270678400993347
"Emotional, Environmental",I find that living in a noisy environment makes me less happy.,0.5219568610191345
"Emotional, Environmental",I feel more at peace when I have quiet space.,0.5116506218910217
"Emotional, Environmental","I have feelings of anxiousness or disorientation, which affect my mood.",0.5094701647758484
"Emotional, Environmental",I can have a better mental state when I have an environment where people are not talking.,0.5086889863014221
"Emotional, Environmental",I am more healthy if my environment is calm and orderly.,0.504318356513977
"Emotional, Environmental","I've experienced certain changes in my environment, such as a sudden change in my tense state or feeling of sadness or anger.",0.4978640377521515
"Emotional, Environmental",I am aware of the physical and emotional health of my environment.,0.4841410517692566
"Emotional, Environmental",I feel more calm in space that is calm and familiar.,0.48379775881767273
"Emotional, Environmental",I am at peace in places that are calm and familiar.,0.46986114978790283
"Emotional, Environmental",I am not aware of the consequences of my environment on my happiness.,0.4548543095588684
"Emotional, Environmental","I can deal with unpleasant or painful feelings like sadness, fear, and anger.",0.44737309217453003
"Emotional, Environmental",I am at peace in the comfort of my own space.,0.4369226098060608
"Emotional, Environmental","I can handle unpleasant or painful feelings like sadness, fear, anger.",0.4294448792934418
"Emotional, Environmental",I have a mental health profile and have a sense of well being.,0.386918842792511
"Emotional, Financial",I feel more likely to feel a lot of stress about my financial situation.,0.6697830557823181
"Emotional, Financial",I feel more worried about my finances and feel less stressed.,0.6606389284133911
"Emotional, Financial",I am more emotionally affected when my financial situation is stable.,0.6407349109649658
"Emotional, Financial",I feel more stressed when my financial situation is at risk.,0.6374616026878357
"Emotional, Financial",I have less stress when my finances are under control.,0.632865846157074
"Emotional, Financial",I feel more aware of my financial situation and emotional and financial situation.,0.632332980632782
"Emotional, Financial",I am feeling more stressed when my finances are under control.,0.6279350519180298
"Emotional, Financial",I feel more confident that I can maintain my finances.,0.625390350818634
"Emotional, Financial",I feel better about my financial situation than my other financial situation.,0.6220035552978516
"Emotional, Financial",I have a clear financial plan and feeling more stable.,0.6175208687782288
"Emotional, Financial",I feel more anxious about my finances than about my emotions.,0.6167550683021545
"Emotional, Financial",I feel overwhelmed with the stress of my financial situation.,0.6084576845169067
"Emotional, Financial",I feel more likely to be financially stable once my finances are stable.,0.6047227382659912
