target_dims,generated_text,combo_size,target_count,generated_count,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6
"Emotional, Environmental, Financial","During the past month, how often have you had trouble sleeping because you feel you are in charge of the situation in which I live.",3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial",I have had trouble sleeping because I am having trouble balancing my emotions.,3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial",I have also had trouble sleeping because of other circumstances.,3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial",I have not been able to sleep after work for almost two years.,3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial",My health has changed dramatically over the past month.,3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial",I have trouble sleeping because of other reasons.,3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial","For reasons of health, I have more trouble sleeping.",3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial",My mood has been down and I want more sleep.,3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial",I feel I am not comfortable in my home.,3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial","For my physical health, I have had problems with sleeping and managing my weight.",3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
"Emotional, Environmental, Financial",I think I have insomnia because of a lot of other reasons for why I have trouble sleeping.,3,30,30,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","In times of stress, I know where to find help.","During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","In general, I feel I am in charge of the situation in which I live.",Maintaining close relationships has been difficult and frustrating for me.,"During the past month, how often have you had trouble sleeping because of other reasons?"
