text,dimension_model,dimensions,scores,delta
I am able to understand the meaning of life.,ChatGPT-5.2,['Spiritual'],[0.44705912470817566],0.05
I lead a meaningful and purposeful life.,ChatGPT-5.2,"['Occupational', 'Spiritual']","[0.42998629808425903, 0.4120875298976898]",0.05
I find that my mental health improves and that my life is meaningful.,ChatGPT-5.2,['Spiritual'],[0.4390653669834137],0.05
I feel fulfilled in my life.,ChatGPT-5.2,"['Occupational', 'Social']","[0.3763155937194824, 0.3290175199508667]",0.05
I sometimes feel sad or depressed.,ChatGPT-5.2,['Emotional'],[0.3285878896713257],0.05
"In general, I am not as mentally healthy as other people.",ChatGPT-5.2,"['Physical', 'Environmental']","[0.3272627592086792, 0.28268885612487793]",0.05
I always have been well with my physical health.,ChatGPT-5.2,['Physical'],[0.5445477366447449],0.05
I have a good relationship with my parents.,ChatGPT-5.2,['Social'],[0.325560986995697],0.05
Sometimes I do not understand why people are attracted to me compared to other people.,ChatGPT-5.2,['Social'],[0.30922603607177734],0.05
I am generally confident about my ability to help people.,ChatGPT-5.2,['Social'],[0.3969954252243042],0.05
It is important to me that I feel happy and confident in the sphere of my own life.,ChatGPT-5.2,"['Social', 'Occupational']","[0.3872550129890442, 0.3731090724468231]",0.05
My social interaction does not interfere with my ability to feel and function well.,ChatGPT-5.2,['Social'],[0.41705429553985596],0.05
My day is fairly balanced.,ChatGPT-5.2,['Occupational'],[0.28392505645751953],0.05
I do not have any issues with focusing.,ChatGPT-5.2,"['Physical', 'Occupational', 'Intellectual', 'Environmental']","[0.1351357400417328, 0.09588200598955154, 0.09462931752204895, 0.09222690016031265]",0.05
The amount of information that I process in a typical day is just about right for me.,ChatGPT-5.2,"['Occupational', 'Intellectual']","[0.25718972086906433, 0.21722102165222168]",0.05
I feel as if I've done everything there is to do in life.,ChatGPT-5.2,['Occupational'],[0.37875044345855713],0.05
I sometimes feel as if I haven't accomplished much in my life.,ChatGPT-5.2,"['Occupational', 'Intellectual']","[0.34701335430145264, 0.2972405254840851]",0.05
"When I am in need, my family is there for me.",ChatGPT-5.2,"['Occupational', 'Social', 'Financial']","[0.25323647260665894, 0.24827927350997925, 0.20483200252056122]",0.05
I am usually happy to be with my family.,ChatGPT-5.2,"['Occupational', 'Social', 'Emotional']","[0.2645163834095001, 0.2424744814634323, 0.23177355527877808]",0.05
I have not always had friends with whom I could share my joys and sorrows.,ChatGPT-5.2,['Social'],[0.2967836856842041],0.05
I typically find intellectual challenges to be vital to my overall well-being.,ChatGPT-5.2,['Intellectual'],[0.6171628832817078],0.05
"In the past, I usually find intellectual challenges to be vital to my overall well-being.",ChatGPT-5.2,['Intellectual'],[0.5981141924858093],0.05
"In the past, I have found intellectual challenges to be vital to my overall well-being.",ChatGPT-5.2,['Intellectual'],[0.5928232073783875],0.05
I have found intellectual challenges to be vital to my overall well-being.,ChatGPT-5.2,['Intellectual'],[0.6064833402633667],0.05
I enjoy taking an intellectual challenge for a number of reasons and enjoy taking time to think about my own self and others.,ChatGPT-5.2,['Intellectual'],[0.5953826904296875],0.05
I feel sad and lonely being alone,ChatGPT-5.2,"['Emotional', 'Social']","[0.2579119801521301, 0.23963016271591187]",0.05
