qid,text,seeds,status,reject_reason
CD_RISC_1,I am able to adapt when changes occur.,[],seed,
CD_RISC_2,I have one close and secure relationship.,[],seed,
CD_RISC_3,Sometimes fate or God helps me.,[],seed,
CD_RISC_4,I can deal with whatever comes my way.,[],seed,
CD_RISC_5,Past successes give me confidence.,[],seed,
CD_RISC_6,I try to see the humorous side of things when I am faced with problems.,[],seed,
CD_RISC_7,Having to cope with stress can make me stronger.,[],seed,
CD_RISC_8,"I tend to bounce back after illness, injury, or other hardships.",[],seed,
CD_RISC_9,I believe most things happen for a reason.,[],seed,
CD_RISC_10,"I make my best effort, no matter what.",[],seed,
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",[],seed,
CD_RISC_12,"Even when hopeless, I do not give up.",[],seed,
CD_RISC_13,"In times of stress, I know where to find help.",[],seed,
CD_RISC_14,"Under pressure, I stay focused and think clearly.",[],seed,
CD_RISC_15,I prefer to take the lead in problem-solving.,[],seed,
CD_RISC_16,I am not easily discouraged by failure.,[],seed,
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,[],seed,
CD_RISC_18,I make unpopular or difficult decisions.,[],seed,
CD_RISC_19,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",[],seed,
CD_RISC_20,I have to act on a hunch.,[],seed,
CD_RISC_21,I have a strong sense of purpose in life.,[],seed,
CD_RISC_22,I feel like I am in control.,[],seed,
CD_RISC_23,I like challenges.,[],seed,
CD_RISC_24,I work to attain goals.,[],seed,
CD_RISC_25,I take pride in my achievements.,[],seed,
PERMA1_1,How much of the time do you feel you are making progress towards accomplishing your goals?,[],seed,
PERMA1_2,How often do you become absorbed in what you are doing?,[],seed,
PERMA1_3,How often do you feel joyful?,[],seed,
PERMA1_4,How often do you feel anxious?,[],seed,
PERMA1_5,How often do you achieve the important goals you have set for yourself?,[],seed,
PERMA2_1,How would you say your health is?,[],seed,
PERMA3_1,To what extent do you lead a purposeful and meaningful life?,[],seed,
PERMA3_2,To what extent do you receive help and support from others when you need it?,[],seed,
PERMA3_3,To what extent do you feel that what you do in your life is valuable and worthwhile?,[],seed,
PERMA3_4,To what extent do you feel excited and interested in things?,[],seed,
PERMA3_5,How lonely do you feel in your daily life?,[],seed,
PERMA4_1,How satisfied are you with your current physical health?,[],seed,
PERMA5_1,How often do you feel positive?,[],seed,
PERMA5_2,How often do you feel angry?,[],seed,
PERMA5_3,How often are you able to handle your responsibilities?,[],seed,
PERMA5_4,How often do you feel sad?,[],seed,
PERMA5_5,How often do you lose track of time while doing something you enjoy?,[],seed,
PERMA6_1,"Compared to others of your same age and sex, how is your health?",[],seed,
PERMA7_1,To what extent do you feel you have a sense of direction in your life?,[],seed,
PERMA7_2,How satisfied are you with your personal relationships?,[],seed,
PERMA7_3,To what extent do you feel loved?,[],seed,
PERMA7_4,To what extent do you feel contented?,[],seed,
PERMA8_1,"Taking all things together, how happy would you say you are?",[],seed,
PSS_1,"During the past month, what time have you usually gone to bed at night?",[],seed,
PSS_2,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",[],seed,
PSS_3,"During the past month, what time have you usually gotten up in the morning?",[],seed,
PSS_4,"During the past month, how many hours of actual sleep did you get at night?",[],seed,
PSS_5_1,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",[],seed,
PSS_5_2,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",[],seed,
PSS_5_3,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",[],seed,
PSS_5_4,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",[],seed,
PSS_5_5,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",[],seed,
PSS_5_6,"During the past month, how often have you had trouble sleeping because you feel too cold?",[],seed,
PSS_5_7,"During the past month, how often have you had trouble sleeping because you feel too hot?",[],seed,
PSS_5_8,"During the past month, how often have you had trouble sleeping because you have bad dreams?",[],seed,
PSS_5_9,"During the past month, how often have you had trouble sleeping because you have pain?",[],seed,
PSS_5_10,"During the past month, how often have you had trouble sleeping because of other reasons?",[],seed,
PSS_6,"During the past month, how would you rate your sleep quality overall?",[],seed,
PSS_7,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",[],seed,
PSS_8,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",[],seed,
PSS_9,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",[],seed,
PSS_10_1,"During the past month, how often has your bed partner or room mate reported loud snoring?",[],seed,
PSS_10_2,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",[],seed,
PSS_10_3,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",[],seed,
PSS_10_4,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",[],seed,
PSS_10_5,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",[],seed,
PWB_1,I like most parts of my personality.,[],seed,
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",[],seed,
PWB_3,"Some people wander aimlessly through life, but I am not one of them.",[],seed,
PWB_4,The demands of everyday life often get me down.,[],seed,
PWB_5,In many ways I feel disappointed about my achievements in life.,[],seed,
PWB_6,Maintaining close relationships has been difficult and frustrating for me.,[],seed,
PWB_7,I live life one day at a time and don't really think about the future.,[],seed,
PWB_8,"In general, I feel I am in charge of the situation in which I live.",[],seed,
PWB_9,I am good at managing the responsibilities of daily life.,[],seed,
PWB_10,I sometimes feel as if I've done all there is to do in life.,[],seed,
PWB_11,"For me, life has been a continuous process of learning, changing, and growth.",[],seed,
PWB_12,I think it is important to have new experiences that challenge how I think about myself and the world.,[],seed,
PWB_13,"People would describe me as a giving person, willing to share my time with others.",[],seed,
PWB_14,I gave up trying to make big improvements or changes in my life a long time ago.,[],seed,
