target_dims,generated_text,corr_score
"Emotional, Environmental, Financial",I am aware of stress related to my emotional and financial well being.,0.50384122133255
"Emotional, Environmental, Financial",I feel a lot of stress due to my financial situation.,0.49148473143577576
"Emotional, Environmental, Financial",My emotional stress and financial stress create stress for me.,0.48265787959098816
"Emotional, Environmental, Financial",My emotional situation is most likely a form of stress.,0.47185516357421875
"Emotional, Environmental, Financial",Stress is a problem that interferes with my peace of mind.,0.4662163257598877
"Emotional, Environmental, Financial",My mental health status has been influenced by financial and emotional stress.,0.46360448002815247
"Emotional, Environmental, Financial",I have a fear of stress because of my financial situation.,0.46299979090690613
"Emotional, Environmental, Financial",I feel stressed when I am unable to get enough sleep.,0.428397536277771
"Emotional, Environmental, Financial",I feel less secure in times of stress than I did in the past.,0.4279024004936218
"Emotional, Environmental, Financial",I've been feeling very stressed over the past month.,0.427457720041275
"Emotional, Environmental, Financial",Stress and anxiety are both things I feel anxious about.,0.40919229388237
"Emotional, Environmental, Financial",A self-report mental health survey report that describes how well I feel during stressful situations.,0.4074951112270355
"Emotional, Environmental, Financial",I need a new self-report to help me cope with stress.,0.3949776589870453
"Emotional, Environmental, Financial",I have been having more stress than I thought I was going to,0.39029669761657715
"Emotional, Environmental, Financial",I need to know how to manage my emotions when I are stressed.,0.3880101442337036
"Emotional, Environmental, Financial","I have experienced stress in the past month, how often have you had trouble sleeping.",0.37643569707870483
"Emotional, Environmental, Financial","When you feel stressed, you are more likely to have an anxiety attack.",0.37556320428848267
"Emotional, Environmental, Financial",I am experiencing issues that affect my physical and psychological health.,0.3645874261856079
"Emotional, Environmental, Financial",You have been through some difficult times and are struggling.,0.32036325335502625
"Emotional, Environmental, Financial",I feel less secure because I cannot save for the future.,0.28662973642349243
"Emotional, Environmental, Financial",I am aware of my financial situation and my financial situation.,0.2775794267654419
"Emotional, Environmental, Financial",Mental health can affect many aspects of a person's life.,0.2752765715122223
"Emotional, Environmental, Financial",I do not feel empowered or confident enough to change my lifestyle.,0.2751154601573944
"Emotional, Environmental, Financial",A self-report describing how your financial situation affects how secure you feel.,0.2730753719806671
"Emotional, Environmental, Financial",I have a negative attitude about things I have to change.,0.26890799403190613
"Emotional, Environmental, Financial",I had trouble sleeping in the past month because you cannot breathe comfortably?,0.2361069917678833
"Emotional, Environmental, Financial",The first self-report is a self-report about the mental health of adults.,0.2214084267616272
"Emotional, Environmental, Financial",How frequently do you have trouble sleeping because you cannot breathe comfortably?,0.2205282747745514
"Emotional, Environmental, Financial","My physical health is poor, so I feel pressured to eat a healthy diet.",0.1825960874557495
"Emotional, Environmental, Financial",I have a stable income that is less than what I used to earn.,0.17417024075984955
"Emotional, Environmental, Intellectual",I feel more relaxed when my surroundings are clean and organized.,0.5785833597183228
"Emotional, Environmental, Intellectual",I feel more relaxed in a place that is clean and organized.,0.5579133033752441
"Emotional, Environmental, Intellectual",I feel more at ease in my surroundings and have calm and calm surroundings.,0.5504831075668335
"Emotional, Environmental, Intellectual",I feel more calm and comfortable in my living space.,0.5497998595237732
"Emotional, Environmental, Intellectual",I feel more relaxed and more content in the environment.,0.5435038805007935
"Emotional, Environmental, Intellectual",I feel more relaxed and at ease when my surroundings help me feel calm and settled.,0.539213240146637
"Emotional, Environmental, Intellectual",I feel more relaxed and happier than before I felt anxious about myself.,0.5025755167007446
"Emotional, Environmental, Intellectual",I am more comfortable when my surroundings are clean and organized.,0.5022724866867065
"Emotional, Environmental, Intellectual",I am more aware of my stress or anxiety levels.,0.4994027316570282
"Emotional, Environmental, Intellectual",I am feeling anxious and anxious because of my surroundings.,0.4979296326637268
"Emotional, Environmental, Intellectual",I think my environment feels very stressful or out of control.,0.49685439467430115
"Emotional, Environmental, Intellectual",I feel more comfortable and happy when my environment is clean.,0.4950108826160431
"Emotional, Environmental, Intellectual",I feel more at ease when I am calm and settled.,0.48566028475761414
"Emotional, Environmental, Intellectual",I feel less stressed when my living space is clean.,0.47995713353157043
"Emotional, Environmental, Intellectual",I feel more at ease and relaxed when I am around people I like.,0.47158658504486084
"Emotional, Environmental, Intellectual",I feel more comfortable when my living room is clean.,0.46133098006248474
"Emotional, Environmental, Intellectual","I feel less overwhelmed in my environment, because of a lack of mental health support.",0.45582592487335205
"Emotional, Environmental, Intellectual",I feel more at ease in places that are clean and organized.,0.45374640822410583
"Emotional, Environmental, Intellectual",I find myself re-evaluating my mental health and looking at ways to improve it.,0.43189483880996704
"Emotional, Environmental, Intellectual",I often feel anxious about having to worry about my own mental health.,0.4257325828075409
"Emotional, Environmental, Intellectual",I often feel anxious or nervous when I am alone.,0.4127253592014313
"Emotional, Environmental, Intellectual","I can deal with physical changes, especially anger or sadness.",0.40438511967658997
"Emotional, Environmental, Intellectual",I feel a lot less nervous than usual and I feel less stressed.,0.40023335814476013
"Emotional, Environmental, Intellectual",I have an anxiety disorder and have very few emotional experiences.,0.38957348465919495
"Emotional, Environmental, Intellectual",I have an understanding of how to control the emotional experience.,0.3807099163532257
"Emotional, Environmental, Intellectual",I am less likely to develop depression if my environment is unbalanced.,0.3713468611240387
"Emotional, Environmental, Intellectual",I can't sleep but know that I can relax and move around.,0.36303120851516724
"Emotional, Environmental, Intellectual",I have been studying how to improve my mental health through my self-report.,0.3285534977912903
"Emotional, Environmental, Intellectual",I like all the things that my environment looks like.,0.31795942783355713
