qid,dataset,text,dimension_model,dimensions,scores,delta
CD_RISC_1,CD-RISC,I am able to adapt when changes occur.,Llama-4,['Emotional'],[0.1995989829301834],0.0
CD_RISC_2,CD-RISC,I have one close and secure relationship.,Llama-4,['Financial'],[0.361101895570755],0.0
CD_RISC_3,CD-RISC,Sometimes fate or God helps me.,Llama-4,['Spiritual'],[0.38131383061408997],0.0
CD_RISC_4,CD-RISC,I can deal with whatever comes my way.,Llama-4,['Financial'],[0.22348552942276],0.0
CD_RISC_5,CD-RISC,Past successes give me confidence.,Llama-4,['Financial'],[0.1757482886314392],0.0
CD_RISC_6,CD-RISC,I try to see the humorous side of things when I am faced with problems.,Llama-4,['Emotional'],[0.2167554348707199],0.0
CD_RISC_7,CD-RISC,Having to cope with stress can make me stronger.,Llama-4,['Emotional'],[0.4113124907016754],0.0
CD_RISC_8,CD-RISC,"I tend to bounce back after illness, injury, or other hardships.",Llama-4,['Physical'],[0.2871539890766144],0.0
CD_RISC_9,CD-RISC,I believe most things happen for a reason.,Llama-4,['Spiritual'],[0.24306972324848175],0.0
CD_RISC_10,CD-RISC,"I make my best effort, no matter what.",Llama-4,['Intellectual'],[0.2510225474834442],0.0
CD_RISC_11,CD-RISC,"I believe I can achieve my goals, even if there are obstacles.",Llama-4,['Spiritual'],[0.29566994309425354],0.0
CD_RISC_12,CD-RISC,"Even when hopeless, I do not give up.",Llama-4,['Emotional'],[0.2724461853504181],0.0
CD_RISC_13,CD-RISC,"In times of stress, I know where to find help.",Llama-4,['Emotional'],[0.3473590612411499],0.0
CD_RISC_14,CD-RISC,"Under pressure, I stay focused and think clearly.",Llama-4,['Intellectual'],[0.27013513445854187],0.0
CD_RISC_15,CD-RISC,I prefer to take the lead in problem-solving.,Llama-4,['Intellectual'],[0.3979479968547821],0.0
CD_RISC_16,CD-RISC,I am not easily discouraged by failure.,Llama-4,['Emotional'],[0.27343153953552246],0.0
CD_RISC_17,CD-RISC,I think of myself as a strong person when dealing with life's challenges and difficulties.,Llama-4,['Emotional'],[0.5358250737190247],0.0
CD_RISC_18,CD-RISC,I make unpopular or difficult decisions.,Llama-4,['Financial'],[0.19070954620838165],0.0
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",Llama-4,['Emotional'],[0.5301554203033447],0.0
CD_RISC_20,CD-RISC,I have to act on a hunch.,Llama-4,['Intellectual'],[0.12755675613880157],0.0
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,Llama-4,['Occupational'],[0.4570368826389313],0.0
CD_RISC_22,CD-RISC,I feel like I am in control.,Llama-4,['Emotional'],[0.16678526997566223],0.0
CD_RISC_23,CD-RISC,I like challenges.,Llama-4,['Emotional'],[0.18788482248783112],0.0
CD_RISC_24,CD-RISC,I work to attain goals.,Llama-4,['Occupational'],[0.48982328176498413],0.0
CD_RISC_25,CD-RISC,I take pride in my achievements.,Llama-4,['Intellectual'],[0.29610177874565125],0.0
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,Llama-4,['Occupational'],[0.2847771942615509],0.0
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,Llama-4,['Occupational'],[0.31155410408973694],0.0
PERMA1_3,PERMA,How often do you feel joyful?,Llama-4,['Emotional'],[0.282819539308548],0.0
PERMA1_4,PERMA,How often do you feel anxious?,Llama-4,['Emotional'],[0.27653756737709045],0.0
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,Llama-4,['Physical'],[0.3298509418964386],0.0
PERMA2_1,PERMA,How would you say your health is?,Llama-4,['Physical'],[0.5629093050956726],0.0
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?,Llama-4,['Spiritual'],[0.513418436050415],0.0
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?,Llama-4,['Social'],[0.3943403959274292],0.0
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?,Llama-4,['Occupational'],[0.5255707502365112],0.0
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?,Llama-4,['Intellectual'],[0.37555816769599915],0.0
PERMA3_5,PERMA,How lonely do you feel in your daily life?,Llama-4,['Emotional'],[0.31317228078842163],0.0
PERMA4_1,PERMA,How satisfied are you with your current physical health?,Llama-4,['Physical'],[0.5792338252067566],0.0
PERMA5_1,PERMA,How often do you feel positive?,Llama-4,['Emotional'],[0.24419145286083221],0.0
PERMA5_2,PERMA,How often do you feel angry?,Llama-4,['Emotional'],[0.30280911922454834],0.0
