target_dims,generated_text,combo_size,target_count,generated_count,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6
Emotional,I am able to control my emotions effectively during stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to handle the emotional stress of life and have the ability to cope with stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I have a fear of my sadness and fear of the unknown.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to cope with emotional stress effectively during stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I'm not able to take care of the emotional stress I'm experiencing.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,"My feelings of sadness, fear, and anger are clearly defined and portrayed.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I have a strong immune system and I feel the way I do in these stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,"I feel comfortable in the presence of feelings of anxiety, depression, and anger.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I have been to a therapist in a crisis before and after a crisis.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,"I am able to deal with unpleasant feelings like sadness, fear, and anger.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to handle emotional turmoil and feelings like sadness and fear.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I can manage my emotional feelings effectively during stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,"I have a tendency to be very sensitive to emotions like sadness, fear, and anger.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to deal with negative feelings like anxiety and stress.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to control my emotions in times of stress.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I feel my emotions in situations I don't like.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I know where to find help when stress begins to affect my body.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I can take care of my feelings while feeling sad or anxious.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to deal with unpleasant or painful feelings.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I can handle emotional pressure in a calm and centered way.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I have the ability to manage my emotions effectively during stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to manage my emotions during stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to deal with emotional distress and fear.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to deal with physical and mental stresses effectively.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am able to handle emotional stress during stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,"I can handle my feelings like anger, sadness, and anxiety.",1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,My emotions have a way of making me feel better.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I feel like I am being influenced by other people.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I am not able to handle emotions effectively during stressful situations.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Emotional,I feel anxious in the hospital because I can't find a medical provider.,1,30,30,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",How often do you feel sad?,How often do you feel angry?,How often do you feel anxious?,I notice when stress begins to affect my body.,"In times of stress, I know where to find help."
Environmental,My environment can be a difficult place for me to relax.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I feel more comfortable when my home environment is clean and organized.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,My environment can be a supportive environment for me to feel safe.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I feel less at ease when my surroundings match my needs.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,My environment has a positive effect on me and helps me to keep me alive.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I find it easier to relax after a stressful situation.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I feel happier when my surroundings are safe and predictable.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I can feel less stressed or angry when I occupy my living space.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I feel safe and more comfortable in my living space.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,My home environment helps me relax and be more comfortable.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,My home environment makes it easier for me to relax.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I feel more comfortable when my living space matches my needs.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I feel happier when the places around me are predictable and comfortable.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,My environment has a positive impact on my mental health.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I feel more at ease when my home environment matches my needs.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,My environment is healthier and is easier for me to relax.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I feel better when my environment is clean and organized.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I feel healthier and more comfortable when the space around me is conducive to my activities.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
Environmental,I am healthier in my home environment and feel happier in my surrounding.,1,30,30,My environment makes it easier for me to take care of myself.,Noise or clutter in my environment makes it harder for me to relax.,My home environment helps me feel secure.,I feel safer when the spaces around me are predictable and comfortable.,I feel more comfortable when my surroundings match my needs.,I feel more at ease when my living space is clean and organized.
