qid,text
CD_RISC_22,I feel like I am in control.
CD_RISC_22,I feel like I am in control.2
CD_RISC_22,I feel like I am in control.3
PWB_1,I like most parts of my personality.
PWB_1,I like most parts of my personality.2
PWB_1,I like most parts of my personality.3
PWB_1,I like most parts of my personality.4
PWB_10,I sometimes feel as if I've done all there is to do in life.4
PWB_10,I sometimes feel as if I've done all there is to do in life.3
PWB_10,I sometimes feel as if I've done all there is to do in life.5
PWB_10,I sometimes feel as if I've done all there is to do in life.
PWB_10,I sometimes feel as if I've done all there is to do in life.2
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far."
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2"
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3"
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.4"
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.5"
PWB_3,"Some people wander aimlessly through life, but I am not one of them."
PWB_3,"Some people wander aimlessly through life, but I am not one of them.2"
PWB_3,"Some people wander aimlessly through life, but I am not one of them.3"
PWB_3,"Some people wander aimlessly through life, but I am not one of them.4"
PWB_3,"Some people wander aimlessly through life, but I am not one of them.5"
PWB_4,The demands of everyday life often get me down.5
PWB_4,The demands of everyday life often get me down.3
PWB_4,The demands of everyday life often get me down.4
PWB_4,The demands of everyday life often get me down.
PWB_4,The demands of everyday life often get me down.2
PWB_5,In many ways I feel disappointed about my achievements in life.
PWB_5,In many ways I feel disappointed about my achievements in life.2
PWB_5,In many ways I feel disappointed about my achievements in life.3
PWB_5,In many ways I feel disappointed about my achievements in life.4
PWB_5,In many ways I feel disappointed about my achievements in life.5
PWB_6,Maintaining close relationships has been difficult and frustrating for me.5
PWB_6,Maintaining close relationships has been difficult and frustrating for me.
PWB_6,Maintaining close relationships has been difficult and frustrating for me.2
PWB_6,Maintaining close relationships has been difficult and frustrating for me.3
PWB_6,Maintaining close relationships has been difficult and frustrating for me.4
PWB_7,I live life one day at a time and don't really think about the future.5
PWB_7,I live life one day at a time and don't really think about the future.4
PWB_7,I live life one day at a time and don't really think about the future.2
PWB_7,I live life one day at a time and don't really think about the future.
PWB_7,I live life one day at a time and don't really think about the future.3
PWB_8,"In general, I feel I am in charge of the situation in which I live.5"
PWB_8,"In general, I feel I am in charge of the situation in which I live."
PWB_8,"In general, I feel I am in charge of the situation in which I live.2"
PWB_8,"In general, I feel I am in charge of the situation in which I live.3"
PWB_8,"In general, I feel I am in charge of the situation in which I live.4"
PWB_9,I am good at managing the responsibilities of daily life.3
PWB_9,I am good at managing the responsibilities of daily life.4
PWB_9,I am good at managing the responsibilities of daily life.
PWB_9,I am good at managing the responsibilities of daily life.2
PWB_9,I am good at managing the responsibilities of daily life.5
