qid,text,answer,source
CD_RISC_22,I feel like I am in control.,Financial,ChatGPT-5.2
CD_RISC_22,I feel like I am in control.2,Social,ChatGPT-5.2
CD_RISC_22,I feel like I am in control.3,Social,ChatGPT-5.2
PWB_1,I like most parts of my personality.,Social,ChatGPT-5.2
PWB_1,I like most parts of my personality.2,Social,ChatGPT-5.2
PWB_1,I like most parts of my personality.3,Social,ChatGPT-5.2
PWB_1,I like most parts of my personality.4,Social,ChatGPT-5.2
PWB_10,I sometimes feel as if I've done all there is to do in life.,Occupational,ChatGPT-5.2
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Occupational,ChatGPT-5.2
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Occupational,ChatGPT-5.2
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Occupational,ChatGPT-5.2
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Occupational,ChatGPT-5.2
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Occupational,ChatGPT-5.2
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Occupational,ChatGPT-5.2
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Occupational,ChatGPT-5.2
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.4",Occupational,ChatGPT-5.2
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.5",Intellectual,ChatGPT-5.2
PWB_3,"Some people wander aimlessly through life, but I am not one of them.",Social,ChatGPT-5.2
PWB_3,"Some people wander aimlessly through life, but I am not one of them.2",Social,ChatGPT-5.2
PWB_3,"Some people wander aimlessly through life, but I am not one of them.3",Social,ChatGPT-5.2
PWB_3,"Some people wander aimlessly through life, but I am not one of them.4",Social,ChatGPT-5.2
PWB_3,"Some people wander aimlessly through life, but I am not one of them.5",Environmental,ChatGPT-5.2
PWB_4,The demands of everyday life often get me down.,Occupational,ChatGPT-5.2
PWB_4,The demands of everyday life often get me down.2,Occupational,ChatGPT-5.2
PWB_4,The demands of everyday life often get me down.3,Occupational,ChatGPT-5.2
PWB_4,The demands of everyday life often get me down.4,Occupational,ChatGPT-5.2
PWB_4,The demands of everyday life often get me down.5,Occupational,ChatGPT-5.2
PWB_5,In many ways I feel disappointed about my achievements in life.,Occupational,ChatGPT-5.2
PWB_5,In many ways I feel disappointed about my achievements in life.2,Occupational,ChatGPT-5.2
PWB_5,In many ways I feel disappointed about my achievements in life.3,Occupational,ChatGPT-5.2
PWB_5,In many ways I feel disappointed about my achievements in life.4,Occupational,ChatGPT-5.2
PWB_5,In many ways I feel disappointed about my achievements in life.5,Occupational,ChatGPT-5.2
