text,seed_examples
I am able to understand the meaning of life.,"['I feel isolated from others', ""Sometimes I don't understand what life is all about."", 'My physical health is excellent.', 'My physical health has restricted me in the past.', 'To what extent do you lead a purposeful and meaningful life?']"
I lead a meaningful and purposeful life.,"['I feel isolated from others', ""Sometimes I don't understand what life is all about."", 'My physical health is excellent.', 'My physical health has restricted me in the past.', 'To what extent do you lead a purposeful and meaningful life?']"
I find that my mental health improves and that my life is meaningful.,"['I feel isolated from others', ""Sometimes I don't understand what life is all about."", 'My physical health is excellent.', 'My physical health has restricted me in the past.', 'To what extent do you lead a purposeful and meaningful life?']"
I feel fulfilled in my life.,"['I feel isolated from others', ""Sometimes I don't understand what life is all about."", 'My physical health is excellent.', 'My physical health has restricted me in the past.', 'To what extent do you lead a purposeful and meaningful life?']"
I sometimes feel sad or depressed.,"['I feel isolated from others', ""Sometimes I don't understand what life is all about."", 'My physical health is excellent.', 'My physical health has restricted me in the past.', 'To what extent do you lead a purposeful and meaningful life?']"
"In general, I am not as mentally healthy as other people.","['In general, I feel confident about my abilities.', 'Compared to people I know, my past physical health has been excellent.', 'No one really knows me well', 'I expect my physical health to get worse.', ""Sometimes I don't understand what life is all about.""]"
I always have been well with my physical health.,"['In general, I feel confident about my abilities.', 'Compared to people I know, my past physical health has been excellent.', 'No one really knows me well', 'I expect my physical health to get worse.', ""Sometimes I don't understand what life is all about.""]"
I have a good relationship with my parents.,"['In general, I feel confident about my abilities.', 'Compared to people I know, my past physical health has been excellent.', 'No one really knows me well', 'I expect my physical health to get worse.', ""Sometimes I don't understand what life is all about.""]"
Sometimes I do not understand why people are attracted to me compared to other people.,"['In general, I feel confident about my abilities.', 'Compared to people I know, my past physical health has been excellent.', 'No one really knows me well', 'I expect my physical health to get worse.', ""Sometimes I don't understand what life is all about.""]"
I am generally confident about my ability to help people.,"['In general, I feel confident about my abilities.', 'Compared to people I know, my past physical health has been excellent.', 'No one really knows me well', 'I expect my physical health to get worse.', ""Sometimes I don't understand what life is all about.""]"
It is important to me that I feel happy and confident in the sphere of my own life.,"['My physical health has restricted me in the past.', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).', 'In general, I feel I am in charge of the situation in which I live.', 'Even when hopeless, I do not give up.']"
My social interaction does not interfere with my ability to feel and function well.,"['My physical health has restricted me in the past.', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).', 'In general, I feel I am in charge of the situation in which I live.', 'Even when hopeless, I do not give up.']"
My day is fairly balanced.,"['My physical health has restricted me in the past.', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).', 'In general, I feel I am in charge of the situation in which I live.', 'Even when hopeless, I do not give up.']"
I do not have any issues with focusing.,"['My physical health has restricted me in the past.', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).', 'In general, I feel I am in charge of the situation in which I live.', 'Even when hopeless, I do not give up.']"
The amount of information that I process in a typical day is just about right for me.,"['My physical health has restricted me in the past.', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).', 'In general, I feel I am in charge of the situation in which I live.', 'Even when hopeless, I do not give up.']"
I feel as if I've done everything there is to do in life.,"['To what extent do you receive help and support from others when you need it?', 'In the past, I have expected the best.', 'My social relationships are superficial', ""I sometimes feel as if I've done all there is to do in life."", 'I believe there is a real purpose for my life.']"
I sometimes feel as if I haven't accomplished much in my life.,"['To what extent do you receive help and support from others when you need it?', 'In the past, I have expected the best.', 'My social relationships are superficial', ""I sometimes feel as if I've done all there is to do in life."", 'I believe there is a real purpose for my life.']"
"When I am in need, my family is there for me.","['How satisfied are you with your current physical health?', 'Sometimes I wonder if my family will really be there for me when I am in need.', 'In the past, I have not always had friends with whom I could share my joys and sorrows.', 'I like most parts of my personality.', 'Members of my family come to me for support.']"
I am usually happy to be with my family.,"['How satisfied are you with your current physical health?', 'Sometimes I wonder if my family will really be there for me when I am in need.', 'In the past, I have not always had friends with whom I could share my joys and sorrows.', 'I like most parts of my personality.', 'Members of my family come to me for support.']"
I have not always had friends with whom I could share my joys and sorrows.,"['How satisfied are you with your current physical health?', 'Sometimes I wonder if my family will really be there for me when I am in need.', 'In the past, I have not always had friends with whom I could share my joys and sorrows.', 'I like most parts of my personality.', 'Members of my family come to me for support.']"
I typically find intellectual challenges to be vital to my overall well-being.,"['During the past month, what time have you usually gone to bed at night?', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'How would you say your health is?', 'In the past, I have generally found intellectual challenges to be vital to my overall well-being.', 'How often do you feel positive?']"
"In the past, I usually find intellectual challenges to be vital to my overall well-being.","['During the past month, what time have you usually gone to bed at night?', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'How would you say your health is?', 'In the past, I have generally found intellectual challenges to be vital to my overall well-being.', 'How often do you feel positive?']"
"In the past, I have found intellectual challenges to be vital to my overall well-being.","['During the past month, what time have you usually gone to bed at night?', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'How would you say your health is?', 'In the past, I have generally found intellectual challenges to be vital to my overall well-being.', 'How often do you feel positive?']"
I have found intellectual challenges to be vital to my overall well-being.,"['During the past month, what time have you usually gone to bed at night?', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'How would you say your health is?', 'In the past, I have generally found intellectual challenges to be vital to my overall well-being.', 'How often do you feel positive?']"
I enjoy taking an intellectual challenge for a number of reasons and enjoy taking time to think about my own self and others.,"['During the past month, what time have you usually gone to bed at night?', 'During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?', 'How would you say your health is?', 'In the past, I have generally found intellectual challenges to be vital to my overall well-being.', 'How often do you feel positive?']"
I feel sad and lonely being alone,"['Even when hopeless, I do not give up.', 'During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?', 'I am unhappy doing so many things alone', 'I feel like I am in control.', 'I feel starved for company']"
"I feel tired, sleepless, and lonely.","['Even when hopeless, I do not give up.', 'During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?', 'I am unhappy doing so many things alone', 'I feel like I am in control.', 'I feel starved for company']"
I try to achieve my goals.,"['I work to attain goals.', 'I have confidence in my own opinions, even if they are different from the way most other people think.', 'I am uncertain about my ability to do things well in the future.', 'In general, I feel confident about my abilities.', 'During the past month, how often have you had trouble sleeping because of other reasons?']"
In many ways I feel frustrated about my achievements in life.,"['During the past month, how often have you had trouble sleeping because you feel too cold?', 'The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).', 'It seems that my life has always had purpose.', 'How much of the time do you feel you are making progress towards accomplishing your goals?', 'In many ways I feel disappointed about my achievements in life.']"
The amount of stress I feel in my life is quite normal.,"['During the past month, how often have you had trouble sleeping because you feel too cold?', 'The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).', 'It seems that my life has always had purpose.', 'How much of the time do you feel you are making progress towards accomplishing your goals?', 'In many ways I feel disappointed about my achievements in life.']"
"In the past, I have received the best.","['During the past month, how often has your bed partner or room mate reported loud snoring?', 'How often are you able to handle your responsibilities?', 'In the past, I have expected the best.', 'People would describe me as a giving person, willing to share my time with others.', 'To what extent do you feel contented?']"
I tend to feel insecure about my abilities and I have difficulty being loved by others.,"['In general, I feel confident about my abilities.', 'To what extent do you feel that what you do in your life is valuable and worthwhile?', 'I feel isolated from others', 'How satisfied are you with your personal relationships?', 'In the past, I hardly ever expected things to go my way.']"
I feel lonely,"['In general, I feel confident about my abilities.', 'To what extent do you feel that what you do in your life is valuable and worthwhile?', 'I feel isolated from others', 'How satisfied are you with your personal relationships?', 'In the past, I hardly ever expected things to go my way.']"
I feel cynical about my skills.,"['In general, I feel confident about my abilities.', 'To what extent do you feel that what you do in your life is valuable and worthwhile?', 'I feel isolated from others', 'How satisfied are you with your personal relationships?', 'In the past, I hardly ever expected things to go my way.']"
I have problems in my personal relationships.,"['In general, I feel confident about my abilities.', 'To what extent do you feel that what you do in your life is valuable and worthwhile?', 'I feel isolated from others', 'How satisfied are you with your personal relationships?', 'In the past, I hardly ever expected things to go my way.']"
I know my family and friends will always love me and will be there for me if I need them.,"['How satisfied are you with your personal relationships?', ""I think of myself as a strong person when dealing with life's challenges and difficulties."", 'Sometimes I wonder if my family will really be there for me when I am in need.', 'I always look on the bright side of things.', 'I cannot tolerate being so alone']"
I find that being alone can make me feel bad.,"['How satisfied are you with your personal relationships?', ""I think of myself as a strong person when dealing with life's challenges and difficulties."", 'Sometimes I wonder if my family will really be there for me when I am in need.', 'I always look on the bright side of things.', 'I cannot tolerate being so alone']"
I never feel comfortable sharing my family life with others.,"['How satisfied are you with your personal relationships?', ""I think of myself as a strong person when dealing with life's challenges and difficulties."", 'Sometimes I wonder if my family will really be there for me when I am in need.', 'I always look on the bright side of things.', 'I cannot tolerate being so alone']"
I am not satisfied with my relationships with my family or friends.,"['How satisfied are you with your personal relationships?', ""I think of myself as a strong person when dealing with life's challenges and difficulties."", 'Sometimes I wonder if my family will really be there for me when I am in need.', 'I always look on the bright side of things.', 'I cannot tolerate being so alone']"
I try to see the funny side of things.,"['I try to see the humorous side of things when I am faced with problems.', 'I believe most things happen for a reason.', 'During the past month, how often has your bed partner or room mate reported loud snoring?', 'I always look on the bright side of things.', 'How often do you feel anxious?']"
I think most problems that I encounter are related to a person who is self-centered.,"['I try to see the humorous side of things when I am faced with problems.', 'I believe most things happen for a reason.', 'During the past month, how often has your bed partner or room mate reported loud snoring?', 'I always look on the bright side of things.', 'How often do you feel anxious?']"
I try to see the positive side of things when faced with challenges.,"['I try to see the humorous side of things when I am faced with problems.', 'I believe most things happen for a reason.', 'During the past month, how often has your bed partner or room mate reported loud snoring?', 'I always look on the bright side of things.', 'How often do you feel anxious?']"
I always look on the bright side of things when I am faced with problems.,"['I try to see the humorous side of things when I am faced with problems.', 'I believe most things happen for a reason.', 'During the past month, how often has your bed partner or room mate reported loud snoring?', 'I always look on the bright side of things.', 'How often do you feel anxious?']"
I sometimes feel as if I have done all there is to do in life.,"[""I sometimes feel as if I've done all there is to do in life."", 'How often do you feel anxious?', 'In the past, I hardly ever expected things to go my way.', 'I have a strong sense of purpose in life.', 'During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?']"
"I feel as if I've done all there is to do in life and this is a negative thought, as my own personal experiences have","[""I sometimes feel as if I've done all there is to do in life."", 'How often do you feel anxious?', 'In the past, I hardly ever expected things to go my way.', 'I have a strong sense of purpose in life.', 'During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?']"
I think I might be in an 'ok place'.,"[""I sometimes feel as if I've done all there is to do in life."", 'How often do you feel anxious?', 'In the past, I hardly ever expected things to go my way.', 'I have a strong sense of purpose in life.', 'During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?']"
I feel like I've never accomplished anything.,"[""I sometimes feel as if I've done all there is to do in life."", 'How often do you feel anxious?', 'In the past, I hardly ever expected things to go my way.', 'I have a strong sense of purpose in life.', 'During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?']"
I am able to handle the demands of everyday life.,"['I am no longer close to anyone', 'The demands of everyday life often get me down.', 'How often do you feel positive?', 'During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?', 'I am able to handle unpleasant or painful feelings like sadness, fear, and anger.']"
"I am capable of managing unpleasant or painful feelings like sadness, fear, and anger.","['I am no longer close to anyone', 'The demands of everyday life often get me down.', 'How often do you feel positive?', 'During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?', 'I am able to handle unpleasant or painful feelings like sadness, fear, and anger.']"
I am comfortable being alone.,"['I am no longer close to anyone', 'The demands of everyday life often get me down.', 'How often do you feel positive?', 'During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?', 'I am able to handle unpleasant or painful feelings like sadness, fear, and anger.']"
